attributes,importance
绿色出行减排.kg.,5.445565527
车牌号,4.139099524
油耗,2.914332055
碳排放.kg.,2.914332055
log_C,2.914332055
log_g,2.911296217
驾驶行为均分,2.896844588
总行驶时长,2.896844588
平均速度.KM.H.,2.894640623
总行驶里程,2.887196853
log_t,2.869273475
log_m,2.824653943
夜间驾驶时长.H.,2.770710609
急减速,2.729865688
急加速,2.715838487
log_a2,2.610162374
log_a1,2.597908969
log_ni,2.59383352
绿色出行天数,2.569773617
急转弯,2.23415887
log_a3,2.04081741
参与评分天数,2.011966088
日期,2.008671828
行驶天数,2.008490807
疲劳驾驶.次数.,1.68073288
年龄,1.624328723
驾龄,1.577231341
部门,1.380670672
收入水平,0.760345205
是否有提醒,0.692478496
是否有排行,0.690109788
性别,0.648279167
签到,0
